model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;550;1;gain ratio;equal;0.8250700000000001;0.94333;0.8802457397647591;0.8716700000000001
timbl;550;2;gain ratio;equal;0.7871100000000001;0.93667;0.855401876921649;0.84167
timbl;550;10;gain ratio;equal;0.77165;0.98;0.8634339051751205;0.845
timbl;550;1;no weights;equal;0.8205899999999999;0.93;0.8718759960927459;0.8633299999999999
timbl;550;2;no weights;equal;0.7829699999999999;0.95;0.8584355182143949;0.8433299999999999
timbl;550;10;no weights;equal;0.65188;0.98;0.7829526680883399;0.72833
timbl;550;1;gain ratio;inverse distance;0.8250700000000001;0.94333;0.8802457397647591;0.8716700000000001
timbl;550;2;gain ratio;inverse distance;0.82405;0.93667;0.8767582733200053;0.8683299999999999
timbl;550;10;gain ratio;inverse distance;0.79088;0.98333;0.876667396080509;0.86167
timbl;550;1;no weights;inverse distance;0.8205899999999999;0.93;0.8718759960927459;0.8633299999999999
timbl;550;2;no weights;inverse distance;0.8102;0.95333;0.8759567072859549;0.865
timbl;550;10;no weights;inverse distance;0.67352;0.98333;0.7994597236925491;0.75333
timbl;550;1;gain ratio;inverse linear;0.8226700000000001;0.94333;0.8788780193657986;0.87
timbl;550;2;gain ratio;inverse linear;0.8126800000000001;0.94;0.8717155441951754;0.86167
timbl;550;10;gain ratio;inverse linear;0.79076;0.97;0.8712569572230173;0.85667
timbl;550;1;no weights;inverse linear;0.8115899999999999;0.93333;0.8682132071384361;0.8583299999999999
timbl;550;2;no weights;inverse linear;0.7944399999999999;0.95333;0.8666626446271534;0.8533299999999999
timbl;550;10;no weights;inverse linear;0.68203;0.98667;0.8065422665548032;0.7633300000000001
timbl;550;1;gain ratio;exponential decay;0.8250700000000001;0.94333;0.8802457397647591;0.8716700000000001
timbl;550;2;gain ratio;exponential decay;0.8098;0.93667;0.868626848442859;0.8583299999999999
timbl;550;10;gain ratio;exponential decay;0.77632;0.98333;0.867648390986844;0.85
timbl;550;1;no weights;exponential decay;0.8134100000000001;0.93;0.8678065400565559;0.8583299999999999
timbl;550;2;no weights;exponential decay;0.7681899999999999;0.95;0.8494759019666044;0.83167
timbl;550;10;no weights;exponential decay;0.625;0.98333;0.7642476979226901;0.69667
timbl;600;1;gain ratio;equal;0.81924;0.93667;0.8740283167132712;0.865
timbl;600;2;gain ratio;equal;0.78771;0.94;0.8571431548118608;0.8433299999999999
timbl;600;10;gain ratio;equal;0.77778;0.98;0.8672580186371447;0.85
timbl;600;1;no weights;equal;0.82544;0.93;0.87460602470036;0.86667
timbl;600;2;no weights;equal;0.77808;0.94667;0.854135374518046;0.8383299999999999
timbl;600;10;no weights;equal;0.6512100000000001;0.98333;0.7835284903397899;0.72833
timbl;600;1;gain ratio;inverse distance;0.81924;0.93667;0.8740283167132712;0.865
timbl;600;2;gain ratio;inverse distance;0.81579;0.93;0.8691591772206281;0.86
timbl;600;10;gain ratio;inverse distance;0.79459;0.98;0.8776091378853708;0.8633299999999999
timbl;600;1;no weights;inverse distance;0.82544;0.93;0.87460602470036;0.86667
timbl;600;2;no weights;inverse distance;0.81429;0.95;0.8769255621241406;0.86667
timbl;600;10;no weights;inverse distance;0.67352;0.98333;0.7994597236925491;0.75333
timbl;600;1;gain ratio;inverse linear;0.81686;0.93667;0.872671988731302;0.8633299999999999
timbl;600;2;gain ratio;inverse linear;0.8046;0.93333;0.8641974279746595;0.8533299999999999
timbl;600;10;gain ratio;inverse linear;0.79348;0.97333;0.8742512079963324;0.86
timbl;600;1;no weights;inverse linear;0.81818;0.93;0.8705137914860026;0.86167
